GeneId1,GeneId2,Corr
CSNK1G3 | 227767_at,PPP4R3B | 233759_s_at,0.911280306147896
CSNK1G3 | 227767_at,DENND6A | 226965_at,0.908942675117048
CSNK1G3 | 227767_at,CREBZF | 225594_at,0.874580895910057
CSNK1G3 | 227767_at,DNM1L | 226154_at,0.895622291279514
CSNK1G3 | 227767_at,MOB1B | 225997_at,0.875187235096128
CSNK1G3 | 227767_at,KPNA4 | 225268_at,0.924434703678721
NEURL1B | 225355_at,OSMR | 226621_at,0.864384105694083
NEURL1B | 225355_at,IER5L | 226552_at,0.853059135792027
PAPD4 | 238706_at,235879_at | 235879_at,0.863702880690469
PAPD4 | 238706_at,UBE2D3 | 240383_at,0.859749136847991
BCAT1 | 225285_at,BCAT1 | 226517_at,0.928874500015964
AFFX-HUMRGE/M10098_M_at | AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.898742206398577
AFFX-HUMRGE/M10098_M_at | AFFX-HUMRGE/M10098_M_at,AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,0.884128280595845
FERMT3 | 223303_at,CTSS | 232617_at,0.879288416944805
